Customer ID,Geography ID,First Name,Last Name,Birth Date,Birth Year,Marital Status,Gender,Email Address,Annual Income,Total Children,Education Level,Occupation,Home Owner,Full Name,Is Parent?,City
11000,26,Jon,Yang,06-10-1971,1971,M,Male,jon24@adventure-works.com,90000,2,Bachelors,Professional,Yes,Jon Yang,Yes,Rockhampton
11001,37,Eugene,Huang,10-05-1976,1976,S,Male,eugene10@adventure-works.com,60000,3,Bachelors,Professional,No,Eugene Huang,Yes,Seaford
11002,31,Ruben,Torres,09-02-1971,1971,M,Male,ruben35@adventure-works.com,60000,3,Bachelors,Professional,Yes,Ruben Torres,Yes,Hobart
11003,11,Christy,Zhu,14-08-1973,1973,S,Female,christy12@adventure-works.com,70000,0,Bachelors,Professional,No,Christy Zhu,No,North Ryde
11004,19,Elizabeth,Johnson,05-08-1979,1979,S,Female,elizabeth5@adventure-works.com,80000,5,Bachelors,Professional,Yes,Elizabeth Johnson,Yes,Wollongong
11005,22,Julio,Ruiz,01-08-1976,1976,S,Male,julio1@adventure-works.com,70000,0,Bachelors,Professional,Yes,Julio Ruiz,No,East Brisbane
11006,8,Janet,Alvarez,02-12-1976,1976,S,Female,janet9@adventure-works.com,70000,0,Bachelors,Professional,Yes,Janet Alvarez,No,Matraville
11007,40,Marco,Mehta,06-11-1969,1969,M,Male,marco14@adventure-works.com,60000,3,Bachelors,Professional,Yes,Marco Mehta,Yes,Warrnambool
11008,32,Rob,Verhoff,04-07-1975,1975,S,Female,rob4@adventure-works.com,60000,4,Bachelors,Professional,Yes,Rob Verhoff,Yes,Bendigo
11009,25,Shannon,Carlson,29-09-1969,1969,S,Male,shannon38@adventure-works.com,70000,0,Bachelors,Professional,No,Shannon Carlson,No,Hervey Bay
11010,22,Jacquelyn,Suarez,05-08-1969,1969,S,Female,jacquelyn20@adventure-works.com,70000,0,Bachelors,Professional,No,Jacquelyn Suarez,No,East Brisbane
11011,22,Curtis,Lu,03-05-1969,1969,M,Male,curtis9@adventure-works.com,60000,4,Bachelors,Professional,Yes,Curtis Lu,Yes,East Brisbane
11012,611,Lauren,Walker,14-01-1979,1979,M,Female,lauren41@adventure-works.com,100000,2,Bachelors,Management,Yes,Lauren Walker,Yes,Bremerton
11013,543,Ian,Jenkins,03-08-1979,1979,M,Male,ian47@adventure-works.com,100000,2,Bachelors,Management,Yes,Ian Jenkins,Yes,Lebanon
11014,634,Sydney,Bennett,06-11-1973,1973,S,Female,sydney23@adventure-works.com,100000,3,Bachelors,Management,No,Sydney Bennett,Yes,Redmond
11015,301,Chloe,Young,26-08-1984,1984,S,Female,chloe23@adventure-works.com,30000,0,Partial College,Skilled Manual,No,Chloe Young,No,Burbank
11016,329,Wyatt,Hill,25-10-1984,1984,M,Male,wyatt32@adventure-works.com,30000,0,Partial College,Skilled Manual,Yes,Wyatt Hill,No,Imperial Beach
11017,39,Shannon,Wang,24-12-1949,1949,S,Female,shannon1@adventure-works.com,20000,4,High School,Skilled Manual,Yes,Shannon Wang,Yes,Sunbury
11018,32,Clarence,Rai,06-10-1955,1955,S,Male,clarence32@adventure-works.com,30000,2,Partial College,Clerical,Yes,Clarence Rai,Yes,Bendigo
11019,52,Luke,Lal,04-09-1983,1983,S,Male,luke18@adventure-works.com,40000,0,High School,Skilled Manual,No,Luke Lal,No,Langley
11020,53,Jordan,King,19-03-1984,1984,S,Male,jordan73@adventure-works.com,40000,0,High School,Skilled Manual,No,Jordan King,No,Metchosin
11021,536,Destiny,Wilson,02-03-1984,1984,S,Female,destiny7@adventure-works.com,40000,0,Partial College,Skilled Manual,No,Destiny Wilson,No,Beaverton
11022,609,Ethan,Zhang,10-04-1984,1984,M,Male,ethan20@adventure-works.com,40000,0,Partial College,Skilled Manual,Yes,Ethan Zhang,No,Bellingham
11023,298,Seth,Edwards,09-04-1984,1984,M,Male,seth46@adventure-works.com,40000,0,Partial College,Skilled Manual,Yes,Seth Edwards,No,Bellflower
11024,311,Russell,Xie,16-03-1984,1984,M,Male,russell7@adventure-works.com,60000,0,Partial College,Skilled Manual,Yes,Russell Xie,No,Concord
11025,24,Alejandro,Beck,22-06-1951,1951,M,Male,alejandro45@adventure-works.com,10000,2,Partial High School,Clerical,Yes,Alejandro Beck,Yes,Hawthorne
11026,4,Harold,Sai,01-10-1951,1951,S,Male,harold3@adventure-works.com,30000,2,Partial College,Clerical,No,Harold Sai,Yes,Goulburn
11027,40,Jessie,Zhao,05-06-1952,1952,M,Male,jessie16@adventure-works.com,30000,2,Partial College,Clerical,Yes,Jessie Zhao,Yes,Warrnambool
11028,17,Jill,Jimenez,09-10-1951,1951,M,Female,jill13@adventure-works.com,30000,2,Partial College,Clerical,Yes,Jill Jimenez,Yes,St. Leonards
11029,32,Jimmy,Moreno,19-06-1952,1952,M,Male,jimmy9@adventure-works.com,30000,2,Partial College,Clerical,Yes,Jimmy Moreno,Yes,Bendigo
11030,28,Bethany,Yuan,18-02-1958,1958,M,Female,bethany10@adventure-works.com,10000,2,Partial High School,Clerical,Yes,Bethany Yuan,Yes,Cloverdale
11031,8,Theresa,Ramos,18-02-1953,1953,M,Female,theresa13@adventure-works.com,20000,4,High School,Skilled Manual,Yes,Theresa Ramos,Yes,Matraville
11032,35,Denise,Stone,08-12-1952,1952,M,Female,denise10@adventure-works.com,20000,4,High School,Skilled Manual,Yes,Denise Stone,Yes,Melbourne
11033,9,Jaime,Nath,19-09-1958,1958,M,Male,jaime41@adventure-works.com,20000,4,High School,Skilled Manual,Yes,Jaime Nath,Yes,Milsons Point
11034,12,Ebony,Gonzalez,16-12-1952,1952,M,Female,ebony19@adventure-works.com,20000,4,High School,Skilled Manual,Yes,Ebony Gonzalez,Yes,North Sydney
11035,33,Wendy,Dominguez,23-08-1953,1953,M,Female,wendy12@adventure-works.com,10000,2,Partial High School,Clerical,Yes,Wendy Dominguez,Yes,Cranbourne
11036,343,Jennifer,Russell,16-06-1984,1984,M,Female,jennifer93@adventure-works.com,60000,0,Partial College,Skilled Manual,Yes,Jennifer Russell,No,National City
11037,49,Chloe,Garcia,27-05-1983,1983,S,Female,chloe27@adventure-works.com,40000,0,Partial High School,Clerical,No,Chloe Garcia,No,Cliffside
11038,6,Diana,Hernandez,20-09-1953,1953,M,Female,diana2@adventure-works.com,10000,2,Partial High School,Clerical,Yes,Diana Hernandez,Yes,Lavender Bay
11039,19,Marc,Martin,16-06-1954,1954,M,Male,marc3@adventure-works.com,30000,3,Partial College,Clerical,Yes,Marc Martin,Yes,Wollongong
11040,642,Jesse,Murphy,29-01-1983,1983,M,Male,jesse15@adventure-works.com,30000,0,Partial College,Skilled Manual,Yes,Jesse Murphy,No,Tacoma
11041,325,Amanda,Carter,15-04-1983,1983,M,Female,amanda53@adventure-works.com,60000,0,Partial College,Skilled Manual,Yes,Amanda Carter,No,Glendale
11042,338,Megan,Sanchez,11-12-1982,1982,M,Female,megan28@adventure-works.com,70000,0,Partial College,Skilled Manual,Yes,Megan Sanchez,No,Los Angeles
11043,325,Nathan,Simmons,23-08-1981,1981,M,Male,nathan11@adventure-works.com,60000,0,Partial College,Skilled Manual,Yes,Nathan Simmons,No,Glendale
11044,25,Adam,Flores,21-11-1954,1954,M,Male,adam10@adventure-works.com,20000,2,Partial High School,Clerical,Yes,Adam Flores,Yes,Hervey Bay
11045,8,Leonard,Nara,16-11-1955,1955,S,Male,leonard18@adventure-works.com,30000,3,High School,Skilled Manual,No,Leonard Nara,Yes,Matraville
11046,6,Christine,Yuan,19-09-1955,1955,M,Female,christine4@adventure-works.com,30000,3,High School,Skilled Manual,Yes,Christine Yuan,Yes,Lavender Bay
11047,34,Jaclyn,Lu,27-08-1955,1955,M,Female,jaclyn12@adventure-works.com,30000,3,High School,Skilled Manual,No,Jaclyn Lu,Yes,Geelong
11048,39,Jeremy,Powell,21-05-1956,1956,M,Male,jeremy26@adventure-works.com,30000,3,High School,Skilled Manual,Yes,Jeremy Powell,Yes,Sunbury
